TIC_ID,RA,Dec,Teff,log(g),Rotation_Period,False_Alarm_Probability,Lomb-Scargle_Power
437750603,5.279279,28.797157,6525,4.21987,0.789634,0,38.4581
13829723,12.21407,27.740995,6739.7,4.177,0.742611,0,64.5076
238432056,1.653094,29.021544,nan,nan,29.5334,0,134.756
194324757,2.314243,39.698692,5212,6.05566,9.78761,0,78.4858
331741228,2.585891,29.198227,6156.37,5.46314,3.07768,0,41.0658
80433793,5.008802,27.965448,6214,4.26729,1.28315,0,161.801
58101542,6.276423,32.458225,5741.83,4.35208,0.59621,0,246.998
115417172,6.980657,36.402359,6468,5.27446,2.39246,0,54.2802
115480616,7.485068,36.594292,5918,4.3195,1.43643,0,129.654
13829909,12.088871,27.099976,nan,nan,0.936838,0,55.0963
176976745,355.628474,43.014362,5962,4.3115,1.61049,0,1435.87
115657206,8.642189,41.693741,nan,nan,5.04541,0,64.8003
13886489,12.748674,24.806915,4590,4.54422,0.947382,0,168.974
352588202,355.639595,39.239834,4110,4.59939,6.90894,0,197.12
115549707,7.853053,36.549561,5403,4.41939,41.7362,0,110.787
191333987,9.823979,42.681084,6124,4.28265,2.67788,0,42.9104
267869452,11.157913,32.095295,5161,4.46746,2.08611,0,148.611
291728540,358.651726,37.687897,nan,nan,2.77346,0,60.8645
352645431,355.820471,40.118771,4248,5.94077,29.5334,0,45.7456
288243851,356.544104,34.823219,6040,5.671,17.9727,0,39.6325
352105328,357.232413,31.43924,5521,6.09628,0.886674,0,70.345
437740409,2.958956,28.423317,6303,4.47505,29.5334,0,53.5129
57916666,4.58691,30.956249,4796,5.59939,0.636404,0,656.427
127499737,6.598682,39.975723,5409,4.41815,0.796483,0,39.1952
58104287,6.327654,32.465694,6670,4.66816,0.59621,0,813.151
15517054,14.678912,28.41391,nan,nan,20.5297,0,80.3849
58102987,6.320566,35.789169,5934,4.31659,2.96042,0,57.5983
115914057,12.029383,40.478355,6714,4.19649,2.25367,0,154.577
267873820,11.381869,32.59779,6337,5.69653,5.51359,0,57.0235
365904282,0.600896,34.668213,3971.2,4.649,0.930795,0,48.6353
437735021,2.237726,29.27792,5579,5.0388,0.959988,0,39.495
67953690,12.301153,36.872486,nan,nan,41.7362,0,119.329
365901068,358.922947,25.144238,4725,4.62874,0.531576,0,261.209
80426559,2.762119,23.996519,6104,4.28614,1.15678,0,151.851
127422331,5.970334,37.084736,6615,4.20816,0.533823,0,965.327
115659654,8.775589,37.746738,5410,4.41794,1.20078,0,64.4476
115662304,8.968318,39.354805,5536,6.02116,21.8627,0,46.9386
177268180,357.454998,42.566467,6675,4.20094,4.69373,0,87.7816
267569554,8.992299,31.261032,nan,nan,3.37598,0,111.394
13935976,13.367619,25.606388,5950,4.31368,4.36891,0,74.3021
13960534,13.757209,28.292952,5319,5.81175,12.288,0,98.1243
291836336,359.416681,38.064976,6410,4.23623,1.29301,0,37.5881
118003683,0.618225,25.953089,4205,4.58612,28.6944,0,79.5666
115514794,7.600506,36.977386,4909,4.50727,20.9556,0,56.7454
191413148,10.352035,42.885525,6922,5.37037,1.58025,0,102.553
53755999,13.300154,33.231049,5872,4.32791,1.28315,0,314.008
176796380,354.663508,42.76823,5586,4.46266,47.6417,0,110.107
352593978,355.776205,36.53701,3295,4.88366,40.0802,0,54.602
84016178,1.407474,31.516388,6321,4.24988,1.13724,0,258.927
437745265,3.537575,26.258839,6368,3.64264,0.932514,0,43.8454
44487122,7.032952,34.820076,5927.92,4.31769,45.4959,0,104.623
