TIC_ID,Sector,p_r
3.057784380000000000e+08,1.500000000000000000e+01,1.028399999999999981e+00
3.057784380000000000e+08,1.600000000000000000e+01,1.028399999999999981e+00
4.298276660000000000e+08,1.600000000000000000e+01,6.805679999999999508e-01
4.298276660000000000e+08,1.700000000000000000e+01,6.805679999999999508e-01
3.261183560000000000e+08,1.600000000000000000e+01,1.087059999999999915e+00
3.261183560000000000e+08,1.700000000000000000e+01,1.087059999999999915e+00
1.977864010000000000e+08,1.600000000000000000e+01,3.581660000000000110e+01
4.686249490000000000e+08,1.500000000000000000e+01,4.764170000000000016e+01
4.686249490000000000e+08,1.600000000000000000e+01,4.764170000000000016e+01
3.166171500000000000e+08,1.500000000000000000e+01,4.851539999999999964e+00
3.166171500000000000e+08,1.600000000000000000e+01,4.851539999999999964e+00
4.559533130000000000e+08,1.600000000000000000e+01,7.744969999999999910e-01
4.559533130000000000e+08,1.700000000000000000e+01,7.744969999999999910e-01
4.559533130000000000e+08,2.400000000000000000e+01,7.744969999999999910e-01
4.560504200000000000e+08,1.600000000000000000e+01,1.133410000000000029e+00
4.560504200000000000e+08,1.700000000000000000e+01,1.133410000000000029e+00
4.560504200000000000e+08,2.400000000000000000e+01,1.133410000000000029e+00
1.974784330000000000e+08,1.600000000000000000e+01,2.331710000000000171e+00
1.974784330000000000e+08,1.700000000000000000e+01,2.331710000000000171e+00
2.670292080000000000e+08,1.400000000000000000e+01,9.473819999999999464e-01
2.670292080000000000e+08,1.500000000000000000e+01,9.473819999999999464e-01
2.670292080000000000e+08,1.600000000000000000e+01,9.473819999999999464e-01
3.037557300000000000e+08,1.500000000000000000e+01,1.070929999999999938e+00
3.037557300000000000e+08,1.600000000000000000e+01,1.070929999999999938e+00
2.370081330000000000e+08,1.500000000000000000e+01,8.067769999999999442e+00
2.370081330000000000e+08,1.600000000000000000e+01,8.067769999999999442e+00
2.370081330000000000e+08,1.700000000000000000e+01,8.067769999999999442e+00
2.370081330000000000e+08,2.100000000000000000e+01,8.067769999999999442e+00
2.370081330000000000e+08,2.400000000000000000e+01,8.067769999999999442e+00
2.862994140000000000e+08,1.500000000000000000e+01,4.353499999999999659e+01
